Baseline 100%T,,ExampleA,,ExampleB,,ExampleC,,ExampleD,,ExampleE,,ExampleF,,ExampleG,,ExampleH,,ExampleI,,ExampleJ,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9915161,0.1080235094,799.9915161,-0.002976808231,799.9915161,-0.002173271729,799.9915161,-0.002854929771,799.9915161,-0.002208505524,799.9915161,-0.001305226353,799.9915161,-0.002079352271,799.9915161,-0.001834953669,799.9915161,-0.001938409521,799.9915161,0.003468529554,799.9915161,-0.003099834779,
798.9844971,0.1078017503,798.9844971,-0.003524478991,798.9844971,-0.001972013153,798.9844971,-0.002910370706,798.9844971,-0.001990514807,798.9844971,-0.0009648881387,798.9844971,-0.002077858197,798.9844971,-0.002004841343,798.9844971,-0.001176991849,798.9844971,0.003784402274,798.9844971,-0.002943282248,
798.0118408,0.1075623259,798.0118408,-0.003124816343,798.0118408,-0.001932482235,798.0118408,-0.002616267884,798.0118408,-0.002022104803,798.0118408,-0.0007689604536,798.0118408,-0.001727347961,798.0118408,-0.001751480275,798.0118408,-0.001505555585,798.0118408,0.004330941476,798.0118408,-0.002573604695,
797.0041504,0.1083203852,797.0041504,-0.00390904909,797.0041504,-0.002216283232,797.0041504,-0.003730408847,797.0041504,-0.002828801284,797.0041504,-0.001671033679,797.0041504,-0.002494391054,797.0041504,-0.001952067832,797.0041504,-0.002153593116,797.0041504,0.003271098481,797.0041504,-0.003006218467,
795.9960327,0.1079026237,795.9960327,-0.003175494494,795.9960327,-0.001895473455,795.9960327,-0.002787907841,795.9960327,-0.002282415051,795.9960327,-0.0006821287679,795.9960327,-0.001699965214,795.9960327,-0.001257375116,795.9960327,-0.00183216983,795.9960327,0.003578292672,795.9960327,-0.002574788406,
794.9874268,0.1080030948,794.9874268,-0.003653562395,794.9874268,-0.002063430846,794.9874268,-0.002230138751,794.9874268,-0.001997574931,794.9874268,-0.001320969081,794.9874268,-0.001839902834,794.9874268,-0.001547343796,794.9874268,-0.001731318538,794.9874268,0.004104529042,794.9874268,-0.003210852621,
794.0131836,0.108051762,794.0131836,-0.003328315681,794.0131836,-0.002200315474,794.0131836,-0.003057270311,794.0131836,-0.002303014742,794.0131836,-0.001749727177,794.0131836,-0.001731988858,794.0131836,-0.001736939186,794.0131836,-0.002233538311,794.0131836,0.00322684017,794.0131836,-0.003558268072,
793.0039063,0.108312346,793.0039063,-0.003027606523,793.0039063,-0.002281951485,793.0039063,-0.003161771921,793.0039063,-0.002292663557,793.0039063,-0.001488065347,793.0039063,-0.001806443557,793.0039063,-0.001761071035,793.0039063,-0.001755656907,793.0039063,0.003461275483,793.0039063,-0.002747319173,
791.9942017,0.1080096364,791.9942017,-0.003365407931,791.9942017,-0.001686505391,791.9942017,-0.003001436824,791.9942017,-0.001858461532,791.9942017,-0.001264240826,791.9942017,-0.001808866742,791.9942017,-0.001652415376,791.9942017,-0.002157250652,791.9942017,0.003491048701,791.9942017,-0.002473697532,
